title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
Life Is Wild,Standalone,Warner Bros Discovery,Rent/Buy,1381,tv,0.9047,5,6.0,/abhYpSj609l3SEDYd9dcSXngQUA.jpg,Life Is Wild,13.682851250383644,0.0017696695623376228
120 Minutes,Standalone,Warner Bros Discovery,Rent/Buy,30973,tv,0.0826,1,7.0,,120 Minutes,14.38362999566398,0.001860304678715212
Your Face Sounds Familiar,Standalone,Warner Bros Discovery,Rent/Buy,58345,tv,0.1888,0,0.0,,Your Face Sounds Familiar,0.1888,2.4418420346415386e-05
Rome,Standalone,Warner Bros Discovery,Max,1891,tv,11.2693,1407,8.25,/xLy4fhXUPocgMyFNPFac3tY4jwY.jpg,Rome,30.917902654806095,0.003998762411306184
Leap Year,DC,Warner Bros Discovery,Rent/Buy,79777,tv,0.5991,2,9.0,/4bKiXZ3KRBG53jFnMPtXJSCvUpv.jpg,Leap Year,19.076221254719663,0.0024672202818801286
Titans,DC,Warner Bros Discovery,Max,75450,tv,15.2046,2771,7.889,/8e6QiSexmYKaiHGPvbhaFMmQEhc.jpg,Titans,34.425393225939764,0.00445240319058071
Alice in Borderland,DC Extended Universe (DCEU),Warner Bros Discovery,Netflix,110316,tv,26.2611,2534,8.129,/Ac8ruycRXzgcsndTZFK6ouGA0FA.jpg,今際の国のアリス,45.92307796366935,0.005939454562066121
The North Pole,DC,Warner Bros Discovery,Rent/Buy,85502,tv,0.1647,0,0.0,/aBx1cda2yDfUy9j88MP6aNGnUOJ.jpg,The North Pole,0.1647,2.1301450376348596e-05
Dragon Tales,Standalone,Warner Bros Discovery,Rent/Buy,1585,tv,1.9037,55,7.4,/pwAe79bXMfzjD4l4s2k1ZFXq8T2.jpg,Dragon Tales,18.451888027006202,0.002386472235320057
Dark Skies,Standalone,Warner Bros Discovery,Rent/Buy,164,tv,2.3762,49,7.2,/dtWcxTw4VGRyR7qNDlYFCdl5Q9.jpg,Dark Skies,18.475170004336018,0.0023894834064478914
American Dad!,Standalone,Warner Bros Discovery,Hulu,1433,tv,49.5217,2272,6.998,/aC1q422YhQR7k82GB8gW4KoD91p.jpg,American Dad!,66.87429943572498,0.008649177722423632
A Clockwork Orange,Standalone,Warner Bros Discovery,Rent/Buy,185,movie,6.7841,13469,8.181,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,A Clockwork Orange,27.275467595722983,0.0035276686064480704
Creed II,Standalone,Warner Bros Discovery,Peacock,480530,movie,4.5411,5638,7.033,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,Creed II,22.358302094588357,0.0028917077265773203
Pretty Woman,Standalone,Warner Bros Discovery,Hulu,114,movie,10.0186,8704,7.461,/hVHUfT801LQATGd26VPzhorIYza.jpg,Pretty Woman,28.88036877545335,0.003735238265458208
Dragon: The Bruce Lee Story,Standalone,Warner Bros Discovery,Rent/Buy,10423,movie,1.7824,772,6.9,/lxhsdC8wuGgQf0gKCt8wyHHxGcQ.jpg,Dragon: The Bruce Lee Story,18.470579493918326,0.0023888896934553924
The Return of the Pink Panther,Standalone,Warner Bros Discovery,Prime Video,11843,movie,1.8768,647,6.8,/rfuqs7qnYc2SkB2FSxeWH7qDAMP.jpg,The Return of the Pink Panther,18.28837500587059,0.002365324302681277
Aquaman,DC Extended Universe (DCEU),Warner Bros Discovery,Max,297802,movie,8.8244,14596,6.872,/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,Aquaman,26.732663608022662,0.0034574651322034893
Edo Porn,Standalone,Warner Bros Discovery,Rent/Buy,77467,movie,4.024,37,5.9,/vbVoGIa7wEqQ5gOdUZjqFzKxUs2.jpg,北斎漫画,17.40378359661681,0.002250915802331771
Batman,Batman,Warner Bros Discovery,Max,268,movie,6.4765,8286,7.237,/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,Batman,24.8688973388437,0.0032164151947655533
Cars,Beetlejuice,Warner Bros Discovery,Rent/Buy,920,movie,8.6301,14713,7.016,/2Touk3m5gzsqr1VsvxypdyHY5ci.jpg,Cars,26.82983075170648,0.0034700322304997396
Blade Runner,Blade Runner,Warner Bros Discovery,Rent/Buy,78,movie,8.94,14516,7.943,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,Blade Runner,28.987876876828288,0.0037491428100027966
Blade Runner 2049,Blade Runner,Warner Bros Discovery,Rent/Buy,335984,movie,13.2993,14573,7.586,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,Blade Runner 2049,32.63487876518877,0.004220827265056595
3rd & Bird,Standalone,Warner Bros Discovery,Rent/Buy,17565,tv,0.4908,0,0.0,/3LRaetxV5q7ls2aSpZ2xC3eS3ow.jpg,3rd & Bird,0.4908,6.347754611239763e-05
People on Sunday,Standalone,Warner Bros Discovery,Max,347,movie,1.5105,107,7.2,/gWIkCmYaRDlA78WMIfRUlURuLCZ.jpg,Menschen am Sonntag,17.94392375548695,0.002320774750664772
Deuce Bigalow: European Gigolo,Standalone,Warner Bros Discovery,Rent/Buy,11453,movie,3.4757,982,5.304,/yXdQ4UGDFCsPrynJOdIk20AYLus.jpg,Deuce Bigalow: European Gigolo,17.076253517832136,0.0022085547475655695
Casablanca,Standalone,Warner Bros Discovery,Max,289,movie,4.1686,5819,8.1,/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,Casablanca,24.13352298464989,0.003121305660376368
Singles,Standalone,Warner Bros Discovery,Rent/Buy,11068,movie,4.2678,413,6.4,/4T7OKBdkNBorRKWw7VSeuA225z1.jpg,Singles,19.6848003411209,0.0025459307688810973
Shakespeare in Love,Standalone,Warner Bros Discovery,Rent/Buy,1934,movie,4.0424,3118,6.843,/zdW7jdzPi4J9KZR3TyY2jn3Xh5e.jpg,Shakespeare in Love,21.222415374757144,0.002744797984041571
Las plumas del vuelo del águila,Standalone,Warner Bros Discovery,Rent/Buy,425310,movie,0.0,0,0.0,,Las plumas del vuelo del águila,0.0,0.0
Planet of the Apes,Standalone,Warner Bros Discovery,Rent/Buy,871,movie,6.7143,3796,7.643,/2r9iKnlSYEk4daQadsXfcjHfIjQ.jpg,Planet of the Apes,25.579740597139796,0.003308352003459884
The Musketeer,Standalone,Warner Bros Discovery,Rent/Buy,11370,movie,2.6434,238,5.229,/oaKp6HZQDTtCOwn4JGi2Mh7Ep95.jpg,The Musketeer,15.479797900948137,0.002002077394189143
Ruck Zuck,Dirty Harry,Warner Bros Discovery,Rent/Buy,10815,tv,0.1264,0,0.0,,Ruck Zuck,0.1264,1.6347925486159457e-05
Dune,Dune,Warner Bros Discovery,Max,438631,movie,20.1377,14171,7.777,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,Dune,39.84313114366114,0.005153105530631736
Dune: Part Two,Dune,Warner Bros Discovery,Max,693134,movie,15.8729,7250,8.133,/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,Dune: Part Two,35.999297905127314,0.004655963921733208
Certain Women,Standalone,Warner Bros Discovery,Rent/Buy,340487,movie,0.7091,370,6.0,/1A5cWPvPnw7vY1Dfg3DSyLG0k96.jpg,Certain Women,15.278473909615045,0.0019760391852580543
Adelaide Tonight,Standalone,Warner Bros Discovery,Rent/Buy,1582,tv,0.0143,0,0.0,,Adelaide Tonight,0.0143,1.849488405475318e-06
Hell or High Water,Wizarding World,Warner Bros Discovery,Rent/Buy,338766,movie,4.4992,4697,7.302,/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,Hell or High Water,22.775113012441587,0.0029456159055874656
Forrest Gump,Standalone,Warner Bros Discovery,Netflix,13,movie,16.4452,28908,8.463,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,Forrest Gump,37.832233069118146,0.004893026322697476
